"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sat Sep 02 17:07:40 BST 2023","Sat Sep 02 17:08:11 BST 2023","30284","Mobile Chrome","","Exercise 1","","","Fill and Submit form in Contact Page",""
"passed","Sat Sep 02 17:08:55 BST 2023","Sat Sep 02 17:09:03 BST 2023","7699","Mobile Safari","","Home","","","Verify Name for all Menu URLs",""
"passed","Sat Sep 02 17:08:39 BST 2023","Sat Sep 02 17:08:45 BST 2023","5841","Mobile Safari","","Blogs","","","Recent Blogs",""
"passed","Sat Sep 02 17:09:03 BST 2023","Sat Sep 02 17:09:22 BST 2023","18883","Mobile Safari","","Upload File","","","Should upload file via DOM",""
"passed","Sat Sep 02 17:07:42 BST 2023","Sat Sep 02 17:07:43 BST 2023","827","Mobile Chrome","","","","","get started link",""
"passed","Sat Sep 02 17:08:28 BST 2023","Sat Sep 02 17:08:39 BST 2023","10821","Mobile Safari","","My Account","","","Access Orders",""
"passed","Sat Sep 02 17:07:24 BST 2023","Sat Sep 02 17:07:41 BST 2023","16344","Mobile Chrome","","Blogs","","","Recent Blogs",""
"passed","Sat Sep 02 17:08:36 BST 2023","Sat Sep 02 17:08:43 BST 2023","7281","Mobile Safari","","Account Page","","","Verify login and register is visible",""
"passed","Sat Sep 02 17:08:26 BST 2023","Sat Sep 02 17:08:27 BST 2023","703","Mobile Chrome","","","","","has title",""
"passed","Sat Sep 02 17:08:27 BST 2023","Sat Sep 02 17:08:28 BST 2023","910","Mobile Chrome","","","","","get started link",""
"passed","Sat Sep 02 17:08:45 BST 2023","Sat Sep 02 17:08:46 BST 2023","1770","Mobile Safari","","","","","get started link",""
"passed","Sat Sep 02 17:08:46 BST 2023","Sat Sep 02 17:08:55 BST 2023","8733","Mobile Safari","","Home","","","Click Get Started button using CSS SELECTOR",""
"passed","Sat Sep 02 17:08:11 BST 2023","Sat Sep 02 17:08:21 BST 2023","9821","Mobile Chrome","","Home","","","Verify Name for all Menu URLs",""
"passed","Sat Sep 02 17:07:24 BST 2023","Sat Sep 02 17:07:47 BST 2023","22064","Mobile Chrome","","My Account","","","Access Downloads",""
"broken","Sat Sep 02 17:08:20 BST 2023","Sat Sep 02 17:08:52 BST 2023","31842","Mobile Chrome","","Upload File","","","Should upload file via DOM",""
"passed","Sat Sep 02 17:07:24 BST 2023","Sat Sep 02 17:07:54 BST 2023","29045","Mobile Chrome","","My Account","","","Access Orders",""
"failed","Sat Sep 02 17:08:08 BST 2023","Sat Sep 02 17:08:24 BST 2023","16489","Mobile Chrome","","Home","","","Verify Search ICON is visible using XPATH SELECTOR",""
"passed","Sat Sep 02 17:08:53 BST 2023","Sat Sep 02 17:09:03 BST 2023","9702","Mobile Safari","","Home","","","Verify heading text is visible using TEXT SELECTOR",""
"passed","Sat Sep 02 17:07:43 BST 2023","Sat Sep 02 17:08:03 BST 2023","20258","Mobile Chrome","","Home","","","Open Home Page and Verify Title",""
"passed","Sat Sep 02 17:08:43 BST 2023","Sat Sep 02 17:08:45 BST 2023","1806","Mobile Safari","","","","","has title",""
"failed","Sat Sep 02 17:08:52 BST 2023","Sat Sep 02 17:09:04 BST 2023","12072","Mobile Safari","","Home","","","Verify Home Link is enabled using TEXT & CSS SELECTOR",""
"passed","Sat Sep 02 17:09:17 BST 2023","Sat Sep 02 17:09:18 BST 2023","1226","Mobile Safari","","","","","has title",""
"passed","Sat Sep 02 17:07:47 BST 2023","Sat Sep 02 17:08:08 BST 2023","21216","Mobile Chrome","","Home","","","Click Get Started button using CSS SELECTOR",""
"passed","Sat Sep 02 17:09:18 BST 2023","Sat Sep 02 17:09:20 BST 2023","1226","Mobile Safari","","","","","get started link",""
"passed","Sat Sep 02 17:09:03 BST 2023","Sat Sep 02 17:09:22 BST 2023","19252","Mobile Safari","","Upload File","","","Should upload a test file",""
"passed","Sat Sep 02 17:07:41 BST 2023","Sat Sep 02 17:07:42 BST 2023","929","Mobile Chrome","","","","","has title",""
